name,about,email,address,city,pcode,state,country,busph,faxph
Noosa Health Centres,,noosahealth@bigpond.com,PO Box 1707,BUDERIM,4556.0,QLD,Australia,07 5446 4444,07 5446 3344
North And West Remote Health,,,5/106 Dalrymple Service Road,CURRAJONG,4812.0,QLD,Australia,4781 9300,
North Queensland Adolescent Forensic Mental Health,,,"Kirwan Health Campus, 138 Thuringowa Drive",KIRWAN,4817.0,QLD,Australia,4433 9004,4433 9001
North Queensland Minimal Invasive Surgery,,,Mater Medical Centre 21-37 Fulham Road,Pimlico,4812.0,QLD,Australia,4725 2833,4725 0223
North Queensland Rural Youth Justice Centre - Townsville,,,"Level 1, 187 Stanley Street",TOWNSVILLE,4810.0,QLD,Australia,4760 7692,
North Shore General Practice,,manager@northshoregp.com.au,Suite 1/50 North Shore Boulevard,BURDELL,4818.0,QLD,Australia,4758 7000,4758 7007
Northern Australia Primary Health Limited,,,"Level 4, Clinical Practice Building",JAMES COOK UNIVERSITY,4811.0,QLD,Australia,4421 7700,4421 7799
Northern Beaches Gp Superclinic,,reception@nbgpsc.com,3/12 Deeragun Road,DEERAGUN,4818.0,QLD,Australia,4751 4000,4751 4099
Northern Beaches High School,,,PO Box 200,BOHLE,4818.0,QLD,Australia,4751 7111,4751 7100
Northtown Medical Centre,,admin@northtownmedical.com.au,"Shop S, 280 Flinders Mall, Northtown On The Mall",TOWNSVILLE,4810.0,QLD,Australia,4720 8100,4720 8199
Nurture Family Allied Health And Early Parenting Centre,,,107 Charters Towers Road,HYDE PARK,4812.0,QLD,Australia,4772 2555,4772 2551
Nutrition And Dietetics Dept Townsville Hospital,,,100 Angus Smith Drive,TOWNSVILLE,4810.0,QLD,Australia,4433 2950,4433 2371 Referrals
Oaktree Family Medical Centre,,recpetion@oaktreemedical.com.au,The Oak Tree Family Medical Centre,MORANBAH,4744.0,QLD,Australia,4941 7268,4941 6086
Olive Medical Centre,,admin@olivemedicalcentre.com.au,"Suite 2, 599 Ross River Road",KIRWAN,4817.0,QLD,Australia,4799 1600,4799 1699
Omega Health Medical Centre,,reception@omegahealth.com.au,Shop 24/161 Pease Street,MANOORA,4870.0,QLD,Australia,07 4053 7900,4053 7955
On Bundock,,reception@onbundock.com.au,61 Bundock Street,BELGIAN GARDENS,4810.0,QLD,Australia,4724 0861,4724 0872
One Stop Medical,,support@onestopmedical.com.au,"Suite 14 The Dome, 134 Victoria Street",MACKAY,4740.0,QLD,Australia,4951 1411,4951 1599
Oonoonba State School,,admin@oonoonbass.eq.edu.au,Fairfield Waters Drive,IDALIA,4811.0,QLD,Australia,4799 8333,4799 8300
Outback Family Medicine,,admin@outbackmedicine.com.au,140 Mackenzie Street,AYR,4807.0,QLD,Australia,4783 7999,4783 6448
Pathways Townsville,,pwtownsvillefostering@cofcqld.com.au,Ronan Street,VINCENT,4814.0,QLD,Australia,4771 8888,4728 8156
Paul Hopkins Medical Clinic,,,29 Brisbane Street,MACKAY,4740.0,QLD,Australia,4951 1311,4953 1412
Pimlico High School,,,55-77 Fulham Road,PIMLICO,4812.0,QLD,Australia,4759 3444,POST ONLY PLEASE
Pinnacle Medical Centre,,reception@pinnaclemed.com.au,1199 Riverway Drive,RASMUSSEN,4815.0,QLD,Australia,4774 0299,4789 0267
Pinnacles Medical Centre,,,975 Riverway Drive,CONDON,4815.0,QLD,Australia,,4723 2280
Pioneer Medical Centre,,pioneermed@adsl.on.net,10 Grandview Drive,MACKAY,4740.0,QLD,Australia,4942 2777,4942 5033
Pioneer State High School,,,PO Box 8279,MOUNT PLEASANT,4740.0,QLD,Australia,4955 9222,4955 9200
Plaza Medical Centre,,info@parkinsonmedicalcentre.com.au,Suite 2/93 Willetts Road,MACKAY,4740.0,QLD,Australia,4942 4466,4942 5420
Port Village Medical Centre,,portdoctors@bigpond.com,17/11 Macrossan Street,PORT DOUGLAS,4877.0,QLD,Australia,,4099 4216
Positive Possibilities,,,108 Flinders Street,TOWNSVILLE CITY,4810.0,QLD,Australia,0448 363 937,
Prescare,,,"Level 3, 19 Lang Parade",MILTON,4064.0,QLD,Australia,,3223 4489
Probation And Parole - Mackay Central Region,,,"State Government Building, 44 Nelson Street",MACKAY,4740.0,QLD,Australia,4967 0740,4967 0882
Proserpine Hospital,,,34 Taylor Street,PROSERPINE,4800.0,QLD,Australia,4813 9400,4813 9480
Proserpine Medical Centre,,,60a Main Street,PROSERPINE,4800.0,QLD,Australia,4945 1622,4945 2734
Proserpine State School,,principal@proserpiness.eq.edu.au,33 Renwick Road,PROSERPINE,4800.0,QLD,Australia,4940 6333,
Prospect Community Services,,info@prospect.org.au,3 Powell Lane,CHARTERS TOWERS,4820.0,QLD,Australia,4787 4797,
Quacks On Bamford Lane,,quacks@quacks.com.au,28 Bamford Lane,KIRWAN,4817.0,QLD,Australia,4773 3033,4773 6971
Queens Beach Medical Practice,,,41 Murroona Street,BOWEN,4805.0,QLD,Australia,4785 1533,4785 1411
Queensland Health - The Townsville Hospital,,,100 Angus Smith Drive,DOUGLAS,4814.0,QLD,Australia,4433 3000,4433 3001
Queensland Pathways State College - Townsville,,kwatt37@eq.edu.au,"H Block, Pimlico Tafe, Desailly Street",PIMLICO,4812.0,QLD,Australia,0459 860 477,no fax
Queensland Youth Services,,eiw1@qys.org.au,1/54 Keane Street,CURRAJONG,4812.0,QLD,Australia,4721 1948,4721 6835
Real Living Options Association Inc,,,113 - 115 Aumuller Street,BUNGALOW,4870.0,QLD,Australia,4035 5886,
Redlynch Medical Centre,,redlynch@ipn.com.au,PO Box 300,REDLYNCH,4870.0,QLD,Australia,07 4039 1255,07 4039 0180
Relationships Australia - Townsville,,,745 Riverway Drive,THURINGOWA CENTRAL,4817.0,QLD,Australia,1300 364 277,no fax
Rfds Kowanyama Primary Health Centre,,,Carrington Street,KOWANYAMA,4892.0,QLD,Australia,4083 7600,4083 7678
Richmond Aged Care,,rac@richmond.qld.gov.au,PO Box 157,RICHMOND,4822.0,QLD,Australia,0427 413 327,4741 3551
Richmond Health Centre,,,"Richmond Health Centre, 1 Gallagher Drive",RICHMOND,4822.0,QLD,Australia,4741 6100,4741 3332
Richmond Medical Surgery,,richmondsurgery@bigpond.com,58 Crawford Street,RICHMOND,4822.0,QLD,Australia,47413390,47413212
Richmond Surgery,,,Richmond Surgery 58 Crawford Street,RICHMOND,4822.0,QLD,Australia,4741 3390,4741 3212
Riverway Medical Centre,,admin@riverwaymedical.com.au,2 Hervey Range Road,THURINGOWA CENTRAL,4817.0,QLD,Australia,4755 9000,4755 9099
Rosslea Medical Centre,,reception1@rossleamedicalcentre.com.au,112 Bowen Road,Rosslea,4817.0,QLD,Australia,4758 0500,4758 0558
Royal Flying Doctors Service,,,General Aviation Cairns Airport,Aeroglen Cairns,4870.0,QLD,Australia,,4040 0199
Ryan Catholic College,,,59 Canterbury Road,KIRWAN,4817.0,QLD,Australia,4773 0100,4773 3703
Saint Patrick's College Townsville,,office@stpatscollege.qld.com.au,45 The Strand,TOWNSVILLE,4810.0,QLD,Australia,4753 0300,4753 0336
Saint Pauls Phcc,,,"Lot 33 Main Street, St Pauls Village",MOA ISLAND,4875.0,QLD,Australia,,
Salvation Army - Townsville Riverway Recovery Mission,,,49-61 Beck Drive North,CONDON,4815.0,QLD,Australia,4723 5607,4723 0756
Sarina Clinic,,admin@sarinaclinic.com.au,33 Central Street,SARINA,4737.0,QLD,Australia,4956 1355,4943 0448
Sarina Family Practice,,,"Sarina Beach Road Shopping Centre, Shop 18/13 Beach Road",SARINA,4737.0,QLD,Australia,4956 2222,4956 2448
Sarina State High School,,,38 Anzac Street,SARINA,4737.0,QLD,Australia,4943 8111,4943 8100
Sarina State School,,the.principal@sarinass.eq.edu.au,44-50 Broad Street,SARINA,4737.0,QLD,Australia,4964 8888,4964 8800
Save The Children Australia - North Queensland Office,,nqoffice@savethechildren.org.au,11 Thuringowa Drive,KIRWAN,4817.0,QLD,Australia,4773 0400,4723 4071
Selectability,,townsville@selectability.com.au,66 - 68 Charles Street,AITKENVALE,4814.0,QLD,Australia,4725 3664,4725 3819
Self,,hello@goodself.com.au,,TOWNSVILLE,4810.0,QLD,Australia,,
Shenoy Endocrine Services,,,53 Fulham Road,PIMLICO,4812.0,QLD,Australia,4728 6122,4728 6133
Shine For Kids,,,3/41 Denham Street,TOWNSVILLE,4810.0,QLD,Australia,0402 487 908,
Sibuwani Ngurpai Meta,,,70 Douglas Street,THURSDAY ISLAND,4875.0,QLD,Australia,,4069 2253
Skill 360,,kate.gould@skill360.com.au,5/358 Flinders Street,TOWNSVILLE CITY,4810.0,QLD,Australia,1300 933 358,no fax
Slade Point Medical Centre,,admin@sladepoint.com.au,12/1 Finch Street,SLADE POINT,4740.0,QLD,Australia,4955 2300,4955 2344
Smart Clinics Woree,,,1/600 Bruce Highway,WOREE,4868.0,QLD,Australia,4033 2525,4033 2520
Smartclinics,,smithfield@smartclinics.com.au,152 Marabou Drive,ANNANDALE,4814.0,QLD,Australia,4775 2666,4775 2688
Smartclinics Annandale,,info@smartclinics.com.au,"Village Shopping Centre, 152 Marabou Drive",ANNANDALE,4814.0,QLD,Australia,4775 2666,4775 2688
Social Work And Welfare Services - The Townsville Hospital,,TSV-TTH-Social Work@health.qld.gov.au,"Ground Floor, The Townsville Hospital, 100 Angus Smith Drive",DOUGLAS,4814.0,QLD,Australia,4433 2170,4433 2171
Sonic Healthplus Moranbah,,moranbah@sonichealthplus.com.au,"Leichhardt House, 5/25 Saint Francis Drive",MORANBAH,4744.0,QLD,Australia,4941 5311,4941 5106
South Side Medical,,admin@southsidemedical.com.au,"Shop 6a The Gasworks Complex, 137 Shakespeare Street",MACKAY,4740.0,QLD,Australia,4957 4004,4957 3077
Southcare Medical Centre,,,"Unit 19, 12 Toogood Road",WOREE,4868.0,QLD,Australia,,
Southern Cross Catholic College,,,Gartrell Drive,ANNANDALE,4814.0,QLD,Australia,4778 3444,4778 3500
Spark Neurocare,,,PO Box 192,TOWNSVILLE,4810.0,QLD,Australia,,
St Anthony's Catholic College - Assisi Campus 7-12,,office@sacc.catholic.edu.au,Joanne Street,DEERAGUN,4818.0,QLD,Australia,4751 7300,4751 7399
Stanley House,,,5 Discovery Lane,NORTH MACKAY,4740.0,QLD,Australia,4965 6544,4965 6540
Steps Employment Solutions,,,210 Ross River Road,AITKENVALE,4814.0,QLD,Australia,47272600,
Stratford Medical Centre,,reception@stratfordmedical.com.au,2/1 Kamerunga Road,STRATFORD,4870.0,QLD,Australia,,0740551567
Strive Health And Physiotherapy,,,5 Thuringowa Drive,KIRWAN,4817.0,QLD,Australia,4773 6133,4773 7233
Sydney Street Medical,,support@sydneystmedical.com.au,"Shop 10a Sydney Street Market, 83-85 Sydney Street",MACKAY,4740.0,QLD,Australia,4953 3388,4953 3088
Taihs - Charters Towers,,,"Eventide Aged Care Complex, 54-78 Dalrymple Road",RICHMOND HILL,4820.0,QLD,Australia,4787 7618,
Taihs Heatley Clinic,,,421 Fulham Road,HEATLEY,4814.0,QLD,Australia,4417 8000,4417 8099
Taihs Youth Support Service,,,10-16 Peel Street,GARBUTT,4814.0,QLD,Australia,4759 4028,
The Daibetic Gp Clinic,,admin@diabeticgp.com.au,"Suite 14 The Hyde Park Centre, Woolcock Street",HYDE PARK,4812.0,QLD,Australia,4724 0700,4724 5459
The Doctors Cairns,,cairns@thedoctors.com.au,318 Mulgrave Road,WESTCOURT,4870.0,QLD,Australia,07 4044 0444,07 4044 0445
The Oak Tree Family Medical Centre,,reception@towncentresurgery.com.au,Town Square,MORANBAH,4744.0,QLD,Australia,4941 7268,4941 6086
The Townsville Hospital,,,100 Angus Smith Drive,DOUGLAS,4814.0,QLD,Australia,,
The Townsville Hospital - Diabetes Centre,,,100 Angus Smith Drive,DOUGLAS,4814.0,QLD,Australia,4433 2235,4433 2239
The Townsville Hospital - Outpatient Department,,,100 Angus Smith Drive,DOUGLAS,4814.0,QLD,Australia,4433 2500,4433 2501
The Townsville Hospital - Surgical Outpatient Clinic,,,Angus Smith Drive,DOUGLAS,4814.0,QLD,Australia,4433 2700,4433 2810
Thrive Medical,,reception@thrivemedical.com.au,37 O'Keefe Street,CAIRNS NORTH,4870.0,QLD,Australia,4019 2960,4214 5720
Thuringowa Child Safety Service Centre,,,39 Blackhawk Boulevard,THURINGOWA CENTRAL,4817.0,QLD,Australia,4760 9659,4760 9636
Thuringowa State High School,,,26-54 Vickers Road,CONDON,4815.0,QLD,Australia,4753 8888,no fax
Thursday Island Hospital,,tchhs-noth-egm@health.qld.gov.au,163 Douglas Street,THURSDAY ISLAND,4875.0,QLD,Australia,4069 0200,4069 0665
Toogood Road Family Medical Centre,,admin@toogoodmedical.com.au,28 Toogood Road,WOREE,4868.0,QLD,Australia,07 4255 5400,07 4255 5499
Torres And Cape Hhs Nurse Navigators,,,"Level 6, 5b Sheridan Street",CAIRNS,4870.0,QLD,Australia,,
Torres And Cape Hospital Health Service,,,"Level 1, Community Wellness Centre",THURSDAY ISLAND,4875.0,QLD,Australia,4030 6081,4030 6026
Towers Family Health Clinic,,towersfamilyhealthclinic@gmail.com,26 / 2 Gill Street,CHARTERS TOWERS,4820.0,QLD,Australia,4787 2546,4787 3726
Townsville Aborignial And Torres Strait Islander Health Services,,,57-59 Gorden Street,Garbutt,4814.0,QLD,Australia,4759 4000,47594066
Townsville And Suburban Medical Practice,,admin@tsmp.net,130 Charles Street,CRANBROOK,4814.0,QLD,Australia,4779 5077,4779 0311
Townsville Birth Centre,,,"The Townsville Hospital, 100 Angus Smith Drive",DOUGLAS,4814.0,QLD,Australia,4433 2779,4433 1841
Townsville Central Medical Practice,,reception@tcmedical.com.au,383 Flinders Street,TOWNSVILLE,4810.0,QLD,Australia,4447 1700,4447 1709
Townsville Child Safety Service Centre,,,"Level 2 State Government Building, 187-209 Stanley Street",TOWNSVILLE,4810.0,QLD,Australia,4796 6200,4799 7921
Townsville Family Medical Centre,,townsville.admin@ipn.com.au,55 Keane Street,CURRAJONG,4812.0,QLD,Australia,4759 1100,4728 6501
Townsville Gp Superclinic,,townville@thedoctors.com.au,87 Charters Towers Road,HYDE PARK,4812.0,QLD,Australia,4753 0888,4753 0800
Townsville Hospital And Health Service,,,138 Thuringowa Drive,KIRWAN,4817.0,QLD,Australia,4433 9004,4433 9001
Townsville Multicultural Group,,,63 Ross River Road,MUNDINGBURRA,4812.0,QLD,Australia,4775 1588,
Townsville Paediatrics,,admin@townsvillepaediatrics.com.au,4/18 Oxford Street,HYDE PARK,4812.0,QLD,Australia,4427 5817,4427 5846
Townsville Private Clinic,,townsville@healthcare.com.au,136 Wills Street,TOWNSVILLE,4810.0,QLD,Australia,4431 1600,4431 1666
Townsville Sexual Health Services,,TSV-SHS-Triage@health.qld.gov.au,35 Gregory Street,NORTH WARD,4810.0,QLD,Australia,4433 9600,4433 9641
Townsville South Youth Justice Centre,,townsvillesth_admin@csyw.qld.gov.au,"Level One, 187 Stanley Street",TOWNSVILLE,4810.0,QLD,Australia,4796 6299,
Townsville State High School,,,36 Boundary Street,RAILWAY ESTATE,4810.0,QLD,Australia,4721 8777,4721 8700
Townsville Suburban Medical Practice,,,130 Charles Street,CRANBROOK,4814.0,QLD,Australia,4779 5077,4779 0311
Townsville Youth Justice Service,,,109 Bamford Lane,KIRWAN,4817.0,QLD,Australia,4796 6700,4723 5431
Tully Medical Centre,,admin@tullymedical.com.au,10 Watkins Street,TULLY,4854.0,QLD,Australia,4068 1977,4068 1492
United Medical Centres - West Mackay,,umcmackay@unitedmedical.net.au,"Shop Bl.02, Parkside Plaza Shopping Centre, 245 Bridge Road",WEST MACKAY,4740.0,QLD,Australia,4829 4606,4951 0242
Uniting Care Community - Aspire Burdekin,,giovanna.tama@uccommunity.org.au,"Pcyc Building, Office 4, 164 Macmillan Street",AYR,4807.0,QLD,Australia,0419 275 900,
Untied Medical Centres - West Mackay,,umcmackay@unitedmedical.net.au,"Shop Bl.02, Parkside Plaza Shopping Centre, 245 Bridge Road",WEST MACKAY,4740.0,QLD,Australia,4829 4606,4951 0242
Upper Ross Medical Centre,,manager@urmc.com.au,1199 Riverway Drive,RASMUSSEN,4815.0,QLD,Australia,4774 0299,4789 0267
Victoria Park State School,,principal@victoriaparkss.eq.edu.au,15 Goldsmith Street,MACKAY,4740.0,QLD,Australia,4951 6333,4951 6300
Walkerston Gp Superclinic,,walkerston@gpsclinic.com.au,13-17 Dutton Street,Walkerston,4751.0,QLD,Australia,4959 2609,4959 2827
Weipa Primary Health,,reception2@weipaprimaryhealth.com.au,"West Wing, Lot 407 John Evans Drive",WEIPA,4874.0,QLD,Australia,4082 3779,4082 3639
Whitsunday Doctors Service,,info@whitsundaydoctors.com.au,35 Chapman Street,PROSERPINE,4800.0,QLD,Australia,4945 1766,4945 2344
Whitsunday Family Practice,,info@whitsundayfamilypractice.com.au,"Whitsunday Plaza, Shop B6, 8 Galbraith Park Drive",CANNONVALE,4802.0,QLD,Australia,4948 3323,4948 3536
William Ross High School,,,Mervyn Crossman Drive,DOUGLAS,4814.0,QLD,Australia,4726 7666,4726 7600
Willows State School,,,Bilberry Street,KIRWAN,4817.0,QLD,Australia,4799 1333,4723 4665
"Womens Private Health Clinic, Home Hill Hospital",,,PO Box 53,HOME HILL,4806.0,QLD,Australia,4782 2200,4782 2948
Woree Family Medical Centre,,,1/600 Bruce Highway,WOREE,4868.0,QLD,Australia,4033 2525,4033 2520
Workways - Townsville,,,293 Ross River Road,AITKENVALE,4814.0,QLD,Australia,4725 6644,4725 0176
Wuchopperen Health Service Edmonton,,,15-17 Valda Close,EDMONTON,4869.0,QLD,Australia,,4043 6344
Wuchopperen Health Services Limited,,,6 Moignard Street,MANOORA,4870.0,QLD,Australia,4080 1000,4032 4962
Yam Island Primary Health Care Centre,,,Lot 13 Garth Lane,YAM ISLAND,4875.0,QLD,Australia,4090 1000,4090 1015
Young Womens Shelter- Uniting Care Community,,,P O Box 431,AITKENVALE,4814.0,QLD,Australia,4775 9100,3250 4727
Youth Justice - Townsville South,,townsvillesth_admin@csyw.qld.gov.au,187 Stanley Street,TOWNSVILLE,4810.0,QLD,Australia,4796 6299,
Youth Justice Hervey Bay,,,3/101 Beach Road,PIALBA,4655.0,QLD,Australia,,
Youth Justice Service Centre,,,41 Gordon Street,MACKAY,4740.0,QLD,Australia,4967 2360,4967 2391
Youthplus Institute,,luke.o'hare@youthplus.edu.au,58 Fernberg Road,PADDINGTON,4064.0,QLD,Australia,0429 050 937 (Luke),
